"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AdminaStar Federal, Inc.","Anthem","$6,000,000","$0","$6,000,000","2005","20050920","government-contracting-related offenses","False Claims Act and related","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2008","20081114","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Anthem Blue Cross Life and Health Insurance Co.","Anthem","$15,000,000","$0","$15,000,000","2009","20090211","consumer-protection-related offenses","insurance violation","","Anthem agreed to pay a $1 million penalty and reimburse customers and estimated $14 million in out-of-pocket expenses to settle allegations that its denial of claims and claims handling practices for health insurance violated state insurance and fair claim regulations.","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://web.archive.org/web/20110225111910/http://www.insurance.ca.gov/0400-news/0100-press-releases/0080-2009/release017-09.cfm",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2009","20090311","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2009","20090512","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2009","20090609","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2009","20090731","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2009","20090824","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2009","20090826","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2009","20090922","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2009","20090923","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2009","20091012","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$50,000","$0","$50,000","2009","20091022","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$25,000","$0","$25,000","2009","20091103","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$17,500","$0","$17,500","2009","20091110","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2009","20091110","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$2,500,000","$0","$2,500,000","2009","20091123","consumer-protection-related offenses","insurance violation","","Failure to provide continuity of care and ready referral of patients as appropriate and consistent with good professional practice and other violations.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/docs/937/1280335135429.pdf",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$80,000","$0","$80,000","2010","20100218","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$100,000","$0","$100,000","2010","20100406","consumer-protection-related offenses","insurance violation","","Failure to demonstrate ready accessibility of services within plan's geographical service area and other violations.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/docs/1238/1271344791454.pdf",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2010","20100416","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$20,000","$0","$20,000","2010","20100416","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2010","20100427","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$20,000","$0","$20,000","2010","20100816","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2010","20100823","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2010","20100831","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Anthem Blue Cross","Anthem","$900,000","$0","$900,000","2010","20101129","consumer-protection-related offenses","insurance violation","","violations regarding payment of provider claims","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/November29,2010.aspx",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$500,000","$0","$500,000","2010","20101130","consumer-protection-related offenses","insurance violation","","Failure to establish and maintain a dispute resolution mechanism and other violations.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/docs/1308/1291913084101.pdf",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2010","20101201","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2010","20101201","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2010","20101207","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$45,000","$0","$45,000","2010","20101207","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2010","20101207","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2010","20101207","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2010","20101210","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2010","20101223","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110131","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110301","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2011","20110513","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110802","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110809","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110810","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110822","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2011","20110822","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110909","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2011","20110909","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$20,000","$0","$20,000","2011","20110909","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110915","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2011","20110915","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110919","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20110926","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2011","20110926","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20111003","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2011","20111003","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2011","20111004","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20111004","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$20,000","$0","$20,000","2011","20111005","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20111011","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20111012","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2011","20111021","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2011","20111109","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2012","20120118","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2012","20120118","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20120130","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20120131","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2012","20120131","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2012","20120312","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2012","20120313","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20120515","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2012","20120515","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2012","20120524","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20120604","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2012","20120703","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
