"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Humana Health Plan of Texas, Inc","Humana","$115,000","$0","$115,000","2019","20190104","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20195834.pdf",""
"Humana Insurance Company and Humana Health Plan of Texas, Inc.","Humana","$639,607","$0","$639,607","2020","20200501","consumer-protection-related offenses","insurance violation","","In 2015, Humana initiated a strategy to simplify the number of individual health products it offered in Texas and, eventually, withdrew from the Texas individual health market in 2018. Terminations that occurred in 2016 as part of that strategy violated Texas insurance laws. Additionally, the Texas Department of Insurance discovered instances in which Humana used unapproved association plan forms and failed to notify associations of changes to policy language upon renewal. Lastly, between 2014 and 2017, Humana violated  regulations by rating small employers as if they were large employers. Humana agreed to pay a $500,000 administrative penalty and $139,607.33 in restitution.","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20206340.pdf",""
"Humana Insurance Company","Humana","$75,000","$0","$75,000","2015","20150929","consumer-protection-related offenses","insurance violation","","","state","agency action","Utah Insurance Department","civil","","","","","","Utah","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.utah.gov/wp-content/uploads/3666Stip.pdf",""
"Humana Insurance Company","Humana","$5,000","$0","$5,000","2016","20160525","consumer-protection-related offenses","insurance violation","","","state","agency action","Utah Insurance Department","civil","","","","","","Utah","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.utah.gov/wp-content/uploads/3771Notice.pdf",""
"Humana Medical Plan of Utah","Humana","$5,000","$0","$5,000","2016","20160525","consumer-protection-related offenses","insurance violation","","","state","agency action","Utah Insurance Department","civil","","","","","","Utah","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.utah.gov/wp-content/uploads/3772Notice.pdf",""
"Humana Insurance Co.","Humana","$5,000","$0","$5,000","2003","20030301","consumer-protection-related offenses","insurance violation","","","state","agency action","Wisconsin Office of the Commissioner of Insurance","civil","","","","","","Wisconsin","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://ociaccess.oci.wi.gov/orders/02c28112.pdf",""
"Humana Insurance Co.","Humana","$60,000","$0","$60,000","2005","20051101","consumer-protection-related offenses","insurance violation","","","state","agency action","Wisconsin Office of the Commissioner of Insurance","civil","","","","","","Wisconsin","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://ociaccess.oci.wi.gov/orders/04c28947.pdf",""
"Humana Insurance Co.","Humana","$750,000","$0","$750,000","2008","20080901","consumer-protection-related offenses","insurance violation","","Humana agreed to pay $750,000 in settlement of a market conduct examination finding it failed to comply with multiple insurance regulations and failed to follow recommendations of previous examinations.","state","agency action","Wisconsin Office of the Commissioner of Insurance","civil","","","","","","Wisconsin","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://ociaccess.oci.wi.gov/orders/08c31613.pdf",""
"Humana Insurance Company","Humana","$4,500,000","$0","$4,500,000","2013","20131206","consumer-protection-related offenses","insurance violation","","Humana agreed to pay $1.8 million to a group of states to resolve allegations that it improperly required companies purchasing small group medical insurance to purchase a group life insurance product as well. It also agreed to create a $2.7 million consumer restitution pool.","state","agency action","Multistate Financial  Regulators Case","civil","","","","","","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","http://s3.amazonaws.com/fcmd/documents/documents/000/003/702/original/Humana_-_Multistate_Market_Conduct_MOPR.pdf?1430764363",""
"Humana Insurance Co.","Humana","$50,000","$0","$50,000","2020","20200619","consumer-protection-related offenses","insurance violation","","$50,000 fine levied for implementing a commission practice that was unfairly discriminatory towards consumers over the age of eighty-one years, and by implementing an unfiled commission schedule.","state","agency action","Washington State Office of the Insurance Commissioner","civil","","","","","","Washington","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://fortress.wa.gov/oic/consumertoolkit/Orders/OrderProfile.aspx?OrderNumber=rd4XDU5G%252BiDiVLcUuhY32Q%253D%253D",""
"Humana Insurance Company","Humana","$1,500,000","$0","$1,500,000","2020","20200929","consumer-protection-related offenses","insurance violation","","","state","agency action","Utah Insurance Department","civil","","","","","","Texas","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://insurance.utah.gov/wp-content/uploads/4261Order.pdf",""
"Humana Insurance Co.","Humana","$857,205","$0","$857,205","2021","20210729","consumer-protection-related offenses","insurance violation","","Humana agreed to pay a $630,000 penalty and $227,205 in restitution in settlement of alleged health insurance violations relating to emergency situations and failure to timely provide decisions.","state","agency action","North Carolina Department of Insurance","civil","","","","","","North Carolina","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.ncdoi.gov/news/press-releases/2021/07/29/insurance-commissioner-causey-fines-humana-630000",""
"Humana Inc.","Humana","$17,000,000","$0","$17,000,000","2021","20210826","employment-related offenses","wage and hour violation","","overtime pay","federal","private litigation","","civil","","District of Connecticut","3:15cv1637","Kinkead v. Humana, Inc. et al","settlement","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.law360.com/articles/1369403/humana-inks-17m-deal-with-home-aides-in-ot-class-action",""
"Humanadental Insurance Company","Humana","$15,000","$0","$15,000","2021","20210914","consumer-protection-related offenses","insurance violation","","","state","agency action","Washington State Office of the Insurance Commissioner","civil","","","","","","Washington","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://fortress.wa.gov/oic/consumertoolkit/Orders/OrderProfile.aspx?OrderNumber=8IozZDH7IFkMN1Uy4uTE3Q%253D%253D",""
"Humana Insurance Company","Humana","$11,206,868","$0","$11,206,868","2021","20210927","employment-related offenses","wage and hour violation","","overtime pay collective action","federal","private litigation","","civil","","Eastern District of Wisconsin","1:17cv1774","O'Leary v. Humana Insurance Company et al","settlement","","","","","","","USA","Kentucky","publicly traded","HUM","healthcare services","insurance; managed care","https://www.law360.com/articles/1425268/humana-to-pay-11-2m-to-end-nurses-misclassification-suit",""
