"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cigna HealthCare of California, Inc.","Cigna","$10,000","$0","$10,000","2006","20060719","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$350,000","$0","$350,000","2007","20070810","consumer-protection-related offenses","insurance violation","","Failure to pay claims timely/to pay interest on late claims/to include fee for failing to include interest.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/docs/512/1190925183065.pdf",""
"Life Insurance Company of North America","Cigna","$600,000","$0","$600,000","2009","20090929","consumer-protection-related offenses","insurance violation","","The California Department of Insurance reached a $600,000 settlement agreement with Life Insurance Company of North America (LINA) to resolve allegations of disability insurance claims handling violations from February 2005 through June 20, 2006. In addition to the fine, LINA agreed to make changes in its claims handling policies and procedures, and to review previously closed claims to determine if additional benefits were due.","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20110225132242/http://www.insurance.ca.gov/0400-news/0100-press-releases/0080-2009/release146-09.cfm",""
"Cigna HealthCare of California, Inc.","Cigna","$10,000","$0","$10,000","2010","20101018","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna","Cigna","$450,000","$0","$450,000","2010","20101129","consumer-protection-related offenses","insurance violation","","violations regarding payment of provider claims","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/November29,2010.aspx",""
"Cigna HealthCare of California, Inc.","Cigna","$7,500","$0","$7,500","2011","20110804","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$15,000","$0","$15,000","2013","20130715","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$7,500","$0","$7,500","2013","20131022","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$5,000","$0","$5,000","2014","20140205","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$6,000","$0","$6,000","2014","20140220","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"CIGNA Behavioral Health of California, Inc.","Cigna","$100,000","$0","$100,000","2014","20140804","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Behavioral+Health+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$10,000","$0","$10,000","2014","20140911","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$7,500","$0","$7,500","2014","20141007","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$15,000","$0","$15,000","2015","20150420","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$70,000","$0","$70,000","2015","20150527","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"CIGNA Behavioral Health of California, Inc.","Cigna","$10,000","$0","$10,000","2016","20160203","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Behavioral+Health+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$100,000","$0","$100,000","2016","20160307","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna Dental Health of California, Inc.","Cigna","$18,000","$0","$18,000","2017","20170129","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Cigna+Dental+Health+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$70,000","$0","$70,000","2017","20170217","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$5,000","$0","$5,000","2017","20170223","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$5,000","$0","$5,000","2017","20170303","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"CIGNA Behavioral Health of California, Inc.","Cigna","$20,000","$0","$20,000","2017","20170427","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Behavioral+Health+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$90,000","$0","$90,000","2017","20170630","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$10,000","$0","$10,000","2017","20170720","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"CIGNA Behavioral Health of California, Inc.","Cigna","$10,000","$0","$10,000","2017","20171031","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Behavioral+Health+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$20,000","$0","$20,000","2017","20171226","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"Cigna Dental Health of California, Inc.","Cigna","$5,000","$0","$5,000","2018","20180216","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Cigna+Dental+Health+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$40,000","$0","$40,000","2018","20180711","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"CIGNA Behavioral Health of California, Inc.","Cigna","$5,000","$0","$5,000","2018","20181228","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Behavioral+Health+of+California%2c+Inc.",""
"Cigna HealthCare of California, Inc.","Cigna","$10,000","$0","$10,000","2019","20190325","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Healthcare+of+California%2c+Inc.",""
"CIGNA Behavioral Health of California, Inc.","Cigna","$5,000","$0","$5,000","2019","20190606","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=CIGNA+Behavioral+Health+of+California%2c+Inc.",""
"Connecticut General Life Insurance Co.","Cigna","$207,250","$0","$207,250","2007","20070412","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWbHFYTVhROVFGcG8/view",""
"Cigna Healthcare of Colorado, Inc.","Cigna","$217,250","$0","$217,250","2007","20070810","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWUFVSMzNaUTVEanM/view",""
"CIGNA HealthCare - Centennial State, Inc.","Cigna","$35,200","$0","$35,200","2010","20100216","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWOXl3VlRtMTVMSGM/view",""
"Cigna Healthcare of Colorado, Inc.","Cigna","$68,200","$0","$68,200","2012","20121221","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWek5OaURBRlZlN3M/view",""
"Cigna Health and Life Insurance Co.","Cigna","$57,200","$0","$57,200","2015","20151027","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://drive.google.com/file/d/11dHOQC-F8EY_1P2WJEOvBQSut-qzpnng/view",""
"Connecticut General Life Insurance Co.","Cigna","$53,900","$0","$53,900","2015","20151027","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWR1VxZ1dFTVdwaDA/view",""
"Cigna Healthcare of Colorado, Inc.","Cigna","$5,750","$0","$5,750","2017","20170503","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://drive.google.com/file/d/1sb6qctInXb1AAI9mN8BPhRXse1UXTt0w/view",""
"CIGNA Behavioral Health, Inc.","Cigna","$8,000","$0","$8,000","2019","20191011","consumer-protection-related offenses","insurance violation","","","state","agency action","Connecticut Insurance Department","civil","","","","","","Connecticut","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.catalog.state.ct.us/cid/portalApps/images/reports/10675625.pdf",""
"CIGNA Health Management, Inc.","Cigna","$25,000","$0","$25,000","2019","20191125","consumer-protection-related offenses","insurance violation","","","state","agency action","Connecticut Insurance Department","civil","","","","","","Connecticut","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.catalog.state.ct.us/cid/portalApps/images/reports/10684769.pdf",""
"Connecticut General Life Insurance Co. and American Speciality Health Networks, Inc.","Cigna","$5,000","$0","$5,000","2011","20110630","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://insurance.delaware.gov/wp-content/uploads/sites/15/2017/01/cignahealthcare.pdf",""
"Cigna Health and Life Insurance Co.","Cigna","$31,000","$0","$31,000","2019","20191230","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://insurance.delaware.gov/wp-content/uploads/sites/15/2020/01/CIGNAHealthandLifeIns_1019_001.pdf",""
"Life Insurance Company of North America","Cigna","$13,000","$0","$13,000","2000","20000302","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/Life_IC_NAmerica_33089-99-CO.pdf",""
"Cigna Healthcare of Florida, Inc.","Cigna","$55,000","$0","$55,000","2002","20020829","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/Cigna_HC_FL_42224-01-CO.pdf","$50,000 costs plus a third of the $15,000 additional costs agreed to by Cigna Healthcare of Florida, Connecticut General and Life Insurance Company of North America. "
"Life Insurance Company of North America","Cigna","$5,000","$0","$5,000","2002","20020829","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/Cigna_HC_FL_42224-01-CO.pdf","A third of the $15,000 additional costs agreed to by Cigna Healthcare of Florida, Connecticut General and Life Insurance Company of North America. "
"Connecticut General Life Insurance Co.","Cigna","$5,000","$0","$5,000","2002","20020829","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/Cigna_HC_FL_42224-01-CO.pdf","A third of the $15,000 additional costs agreed to by Cigna Healthcare of Florida, Connecticut General and Life Insurance Company of North America. "
"Cigna Healthcare of Florida, Inc.","Cigna","$77,000","$0","$77,000","2003","20030107","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/CIGNAHealthcareFloridaInc_63854-02-CO.pdf",""
"Connecticut General Life Insurance Co.","Cigna","$9,500","$0","$9,500","2008","20080709","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/ConnecticutGeneralLife93112-07.pdf",""
"Connecticut General Life Insurance Co. and Cigna Healthcare of Florida, Inc.","Cigna","$40,000","$0","$40,000","2019","20190724","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.floir.com/siteDocuments/LH-Exams/ConnecticutGeneralLife224756-18-CO.pdf",""
"CIGNA Health Care of Massachusetts, Inc.","Cigna","$15,000","$0","$15,000","2004","20040702","consumer-protection-related offenses","insurance violation","","","state","agency action","Massachusetts Division of Insurance","civil","","","","","","Massachusetts","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.mass.gov/service-details/year-2004-administrative-actions-july-to-september","Link is to summary of Order, suspended or shared liability for penalties not available."
"Connecticut General Life Insurance Co.","Cigna","$61,775","$0","$61,775","2011","20111201","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2011-12-001","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Connecticut General Life Insurance Co.","Cigna","$40,000","$0","$40,000","2013","20131125","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2013-11-012","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Connecticut General Life Insurance Co.","Cigna","$5,000","$0","$5,000","2014","20140514","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2014-05-020","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"CIGNA Health and Life Insurance Co. et al.","Cigna","$5,400","$0","$5,400","2015","20150318","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-03-020","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"CIGNA Health and Life Insurance Co.","Cigna","$9,000","$0","$9,000","2015","20151009","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2015-10-007","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"CIGNA Health and Life Insurance Co.","Cigna","$10,500","$0","$10,500","2016","20160107","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2016-01-007","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"CIGNA Health and Life Insurance Co.","Cigna","$10,000","$0","$10,000","2016","20160503","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2016-05-004","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Bravo Health Mid-Atlantic, Inc.","Cigna","$11,000","$0","$11,000","2017","20170727","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2017-07-042","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"CIGNA Health and Life Insurance Co.","Cigna","$265,143","$0","$265,143","2018","20180817","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2018-08-024","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"CIGNA Health and Life Insurance Company","Cigna","$25,000","$0","$25,000","2019","20190111","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2019-06-012","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"CIGNA Health and Life Insurance Company","Cigna","$265,700","$0","$265,700","2019","20191227","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2019-12-019","","","Maryland","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"CIGNA Behavioral Health, Inc.","Cigna","$5,000","$0","$5,000","2000","20000101","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2000-2004/pdf/00-3003.pdf","The copy of the Order available on agency webpage is undated"
"CIGNA Healthcare of Maine, Inc.","Cigna","$10,000","$0","$10,000","2000","20000101","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2000-2004/pdf/00-3002.pdf","The copy of the Order available on agency webpage is undated"
"CIGNA Healthcare of Maine, Inc.","Cigna","$6,000","$0","$6,000","2001","20010101","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2000-2004/pdf/00-3036.pdf","The copy of the Order available on agency webpage is undated"
"CIGNA Healthcare of Maine, Inc.","Cigna","$17,500","$0","$17,500","2001","20010101","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2000-2004/pdf/00-3033.pdf","The copy of the Order available on agency webpage is undated"
"CIGNA Healthcare of Maine, Inc. and CIGNA Behavioral Health, Inc.","Cigna","$1,814,992","$0","$1,814,992","2004","20040101","consumer-protection-related offenses","insurance violation","","CIGNA Healthcare and CIGNA Behavioral Health agreed to pay a $900,000 penalty and $914,992 in restitution representing interest from late payment of claims, in settlement of allegations they had failed to handle claims in a timely and correct manner, along with several other violations found in a Market Conduct Examination. ","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2000-2004/pdf/03-451.pdf","The copy of the Order available on agency webpage is undated"
"Cigna Health and Life Insurance Co.","Cigna","$81,000","$0","$81,000","2018","20180309","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2015-2019/18-201.pdf",""
"Life Insurance Company of North America","Cigna","$15,000","$0","$15,000","2016","20160729","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E985441C-EA94-4707-9F15-B5E6C0EB01AA}",""
"Life Insurance Company of North America","Cigna","$5,000","$0","$5,000","2018","20181030","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={3CB56E17-6BC9-424C-B9C2-307506983BE5}",""
