"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Comcast","Comcast","$2,300,000","$0","$2,300,000","2016","20161011","consumer-protection-related offenses","telecommunications violation","","The FCC's Enforcement Bureau announced that Comcast Corporation would pay a $2.3 million fine to resolve an investigation into whether the company wrongfully charged cable TV customers for services and equipment that those customers never authorized.","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://apps.fcc.gov/edocs_public/attachmatch/DOC-341621A1.pdf",""
"Comcast","Comcast","$700,000","$0","$700,000","2018","20181113","consumer-protection-related offenses","consumer protection violation","","Comcast agreed to pay $700,000 in refunds and cancelled debts in settlement of allegations it used deceptive advertisements to promote long-term cable contracts, failed to disclose actual monthly price and terms and failed to disclose that certain fees could increase at any point.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://wayback.archive-it.org/1101/20181226112947/https://www.mass.gov/news/comcast-to-pay-700000-in-refunds-and-cancel-debts-for-more-than-20000-massachusetts-customers",""
"Comcast Cable Communications Holdings, Inc.","Comcast","$1,000,000","$0","$1,000,000","2006","20060316","consumer-protection-related offenses","consumer protection violation","","Comcast agreed to pay $1 million as part of a settlement over allegations its advertising and marketing practices for cable tv, internet and telephone services were deceptive or unfair.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://web.archive.org/web/20060425180055/http://www.ago.state.ma.us/sp.cfm?pageid=986&id=1633",""
"Comcast Cable Communications LLC","Comcast","$25,950,000","$0","$25,950,000","2015","20151215","environment-related offenses","environmental violation","","The California Attorney General and the Alameda County District Attorney announced a settlement with Comcast Cable Communications LLC to resolve allegations that it both unlawfully disposed of hazardous waste and discarded records without first omitting or redacting private customer information. As part of the settlement, Comcast agreed to pay a total of $25.95 million. ","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-2595-million-settlement-comcast-over",""
"Comcast Cable Communications Management, LLC","Comcast","$150,000","$0","$150,000","2008","20080829","consumer-protection-related offenses","telecommunications violation","","","state","agency action","Florida Attorney General","civil","","","","","","Florida","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Attorney General Reaches $150,000 Settlement with Comcast, US States News, August 29, 2008 (via Nexis).",""
"Comcast Corp.","Comcast","$700,000","$0","$700,000","2004","20041027","employment-related offenses","employment discrimination","","race and gender (two cases each with $350,000 settlement)","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Delaware","New Castle","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://web.archive.org/web/20090813021957/http://eeoc.gov/litigation/settlements/settlement10-04.html",""
"Comcast/Xfinity","Comcast","$1,300,000","$0","$1,300,000","2020","20200115","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Minnesota Attorney General","civil","","","","","","Minnesota","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.ag.state.mn.us/Office/Communications/2020/01/15_ComcastXfinity.asp",""
"Comcast Cable Communications Management, LLC","Comcast","$30,594","$0","$30,594","2020","20200318","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","28-CA-231040","","","Arizona","Tucson","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Comcast Cable Communications Management, LLC","Comcast","$45,000","$0","$45,000","2018","20180430","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","06-CA-198724","","","Pennsylvania","Beaver Falls","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Comcast Cable Communications Management, LLC","Comcast","$45,000","$0","$45,000","2018","20180430","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","06-CA-198724","","","Pennsylvania","Beaver Falls","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Comcast Corporation","Comcast","$127,454","$0","$127,454","2017","20170725","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","12-CA-128422","","","Florida","Davie","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Comcast Corporation","Comcast","$373,670","$0","$373,670","2020","20200930","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.dol.gov/sites/dolgov/files/OFCCP/foia/files/09302020_ComcastCorp_CA_R00208937_MA_Redacted.pdf",""
"Universal Pictures","Comcast","$19,225,515","$0","$19,225,515","2019","20190711","consumer-protection-related offenses","privacy violation","","unsolicited text messages","federal","private litigation","","civil","","Middle District of Florida","6:16cv1193","Parker et al v. Universal Pictures et al","settlement","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://news.bloomberglaw.com/class-action/universal-will-pay-19m-to-settle-warcraft-text-class-suit",""
"Comcast","Comcast","$5,361","$0","$5,361","2002","20020723","environment-related offenses","environmental violation","","","state","agency action","Delaware Department of Natural Resources and Environmental Control","civil","","","","","","Delaware","New Castle","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","http://www.nav.dnrec.delaware.gov/DEN3/Detail/EnforcementDetail.aspx?id=9145",""
"UNIVERSAL CITY DEVELOPMENT  PARTNERS, LTD","Comcast","$8,780","$0","$8,780","2020","20200902","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","200222","","","Florida","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"COMCAST OF OREGON I, INC","Comcast","$7,200","$0","$7,200","2008","20080508","environment-related offenses","environmental violation","","","state","agency action","Oregon Department of Environmental Quality","civil","","","2008-005","","","Oregon","Salem","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"Comcast Business Communications of Virginia, LLC","Comcast","$11,110","$0","$11,110","2019","20190218","environment-related offenses","environmental violation","","Comcast and Tri Wire Engineering Solutions, Inc. agreed to jointly pay $11,110 in settlement of allegations that a communications cable installation caused damage to a tank resulting in an oil leak.","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"Comcast of Virginia, Inc.","Comcast","$10,792","$0","$10,792","2012","20120625","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Manassas","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"Universal City Studios LLC","Comcast","$87,000","$0","$87,000","2021","20210501","environment-related offenses","environmental violation","","air quality violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://ww2.arb.ca.gov/universal-city-studios-llc-settlement",""
"Comcast Phone of Washington, LLC","Comcast","$6,000","$0","$6,000","2017","20170602","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Washington Utilities and Transportation Commission","civil","","","170117","","","Washington","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.utc.wa.gov/casedocket/2017/170117/orders",""
"Comcast Phone of Washington, LLC","Comcast","$5,000","$0","$5,000","2021","20211015","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Washington Utilities and Transportation Commission","civil","","","210733","","","Washington","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.utc.wa.gov/casedocket/2021/210733/orders",""
"COMCAST OF OREGON I INC","Comcast","$18,000","$0","$18,000","2007","20070523","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Oregon Public Utility Commission","civil","","","NC 218","","","Oregon","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://apps.puc.state.or.us/edockets/orders.asp?OrderNumber=07-208",""
"COMCAST CABLE COMMUNICATIONS MANAGEMENT LLC","Comcast","$7,000","$0","$7,000","2018","20181009","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Oregon Public Utility Commission","civil","","","NC 387","","","Oregon","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://apps.puc.state.or.us/edockets/orders.asp?OrderNumber=18-371",""
"Comcast Cable Communications","Comcast","$90,000","$0","$90,000","2020","20200413","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Michigan Public Service Commission","civil","","","3447","","","Michigan","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://mi-psc.force.com/s/",""
"Comcast Cable Communications","Comcast","$5,000","$0","$5,000","2020","20200903","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Michigan Public Service Commission","civil","","","4897","","","Michigan","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://mi-psc.force.com/s/",""
"Comcast Cable Communications","Comcast","$5,000","$0","$5,000","2021","20210211","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Michigan Public Service Commission","civil","","","4687","","","Michigan","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://mi-psc.force.com/s/",""
"Comcast","Comcast","$33,400,000","$33,000,000","$400,000","2015","20150917","consumer-protection-related offenses","consumer protection violation","privacy violation","The California Public Utilities Commission approved a $33.4 million settlement agreement that resolved all issues regarding the unauthorized disclosure and publication of non-published directory listing information (i.e., name, telephone number, and address) of approximately 75,000 customers by Comcast Phone of California, LLC and its related entities.","state","agency action","California Public Utilities Commission","civil","","","","","","California","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://docs.cpuc.ca.gov/PublishedDocs/Published/G000/M154/K457/154457136.PDF",""
"NBC UNIVERSAL","Comcast","$20,875","$0","$20,875","2012","20121119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","UNIVERSAL CITY","100 UNIVERSAL CITY PLAZA","91608","512110","512110: Motion Picture and Video Production","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST OF GEORGIA VIRGINIA, INC.","Comcast","$5,610","$0","$5,610","2012","20121113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","TUCKER","2140 FLINTSTONE DRIVE","30084","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NBC UNIVERSAL","Comcast","$7,000","$0","$7,000","2012","20121109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","NORTH BERGEN","5801 WESTSIDE AVE","07047","515120","515120: Television Broadcasting","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST OF ILLINOIS VI, INC.","Comcast","$5,040","$0","$5,040","2013","20131118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","NEW LENOX","E. LARAWAY RD & RACHEL RIDGE DR.","60451","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST OF NEW JERSEY II, LLC","Comcast","$7,000","$0","$7,000","2015","20150205","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","GLEN RIDGE","30 APPLETON RD","07028","517110","517110: Wired Telecommunications Carriers","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSAL ORLANDO RESORT","Comcast","$12,471","$0","$12,471","2016","20160512","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","ORLANDO","1000 UNIVERSAL STUDIOS PLAZATRANSFORMER ATTACTION","32819","713110","713110: Amusement and Theme Parks","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NBC UNIVERSAL","Comcast","$18,560","$0","$18,560","2016","20160610","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","UNIVERSAL CITY","100 UNIVERSAL CITY PLAZA","91608","512110","512110: Motion Picture and Video Production","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NBCUNIVERSAL, LLC","Comcast","$20,000","$0","$20,000","2016","20160707","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","30 ROCKEFELLER PLAZA","10112","515120","515120: Television Broadcasting","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GLOBAL SPECTRUM LP","Comcast","$9,450","$0","$9,450","2016","20160715","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BUFFALO","CANALSIDE RUINSLLOYD STREET","14202","711310","711310: Promoters of Performing Arts, Sports, and Similar Events with Facilities","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSAL CITY DEVELOPMENT PARTNERS, LTD.","Comcast","$10,864","$0","$10,864","2016","20161108","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","ORLANDO","1000 UNIVERSAL STUDIOS PLAZA","32819","713110","713110: Amusement and Theme Parks","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSAL CITY STUDIOS LLC","Comcast","$18,000","$0","$18,000","2017","20170505","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","UNIVERSAL CITY","100 UNIVERSAL CITY PLAZABLDG. 5511-2 EHS","91608","713110","713110: Amusement and Theme Parks","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST CABLE COMMUNICATIONS, LLC","Comcast","$8,600","$0","$8,600","2017","20170525","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MILL VALLEY","144 HARVARD AVENUE","94941","517110","517110: Wired Telecommunications Carriers","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NBC UNIVERSAL","Comcast","$12,060","$0","$12,060","2017","20170630","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","NORTH BERGEN","5801 WESTSIDE AVE","07047","515120","515120: Television Broadcasting","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC","Comcast","$7,000","$0","$7,000","2018","20180221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PITTSBURGH","2453 BRIGHTON ROAD","15212","517110","517110: Wired Telecommunications Carriers","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST OF SOUTHEAST PENNSYLVANIA, LLC","Comcast","$5,000","$0","$5,000","2018","20180426","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","FAIRLESS HILLS","257 - 259 AUSTIN DRIVE","19030","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST","Comcast","$5,683","$0","$5,683","2018","20181119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","MIRAMAR","2501 SW 145TH AVENUE","33027","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSAL CITY STUDIOS, LLC / UNIVERSAL STUDIOS HOLLYWOOD","Comcast","$18,280","$0","$18,280","2018","20181128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","UNIVERSAL CITY","100 UNIVERSAL CITY PLAZA","91608","713110","713110: Amusement and Theme Parks","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSAL CITY STUDIOS LLC","Comcast","$26,950","$0","$26,950","2019","20190613","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","UNIVERSAL CITY","100 UNIVERSAL CITY PLAZA","91608","713110","713110: Amusement and Theme Parks","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST OF SOUTHEAST PENNSYLVANIA, LLC","Comcast","$6,747","$0","$6,747","2020","20200311","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","POTTSTOWN","740 QUEEN ST.","19464","517110","517110: Wired Telecommunications Carriers","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST CABLE COMMUNICATIONS, LLC","Comcast","$13,494","$0","$13,494","2020","20200520","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","ATLANTA","1314 GUN CLUB RD.","30318","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC","Comcast","$23,406","$0","$23,406","2021","20210608","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","NEW BEDFORD","392 ASHLEY BOULEVARD","02745","334220","334220: Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NBC UNIVERSAL THEME PARK","Comcast","$18,560","$0","$18,560","2021","20210421","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","VALENCIA","25619 HERCULES ST.","91355","713110","713110: Amusement and Theme Parks","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSAL TELEVISION LLC","Comcast","$19,125","$0","$19,125","2021","20211006","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LOS ANGELES","5555 MELROSE AVE.STAGE 18","90038","713110","713110: Amusement and Theme Parks","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GLOBAL SPECTRUM, LP","Comcast","$18,646","$0","$18,646","2021","20211005","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","BANGOR","515 MAIN STREET","04401","561920","561920: Convention and Trade Show Organizers","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSAL STUDIOS WATER PARKS FLORIDA LLC","Comcast","$11,500","$0","$11,500","2011","20110106","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2011-2012","","","Florida","ORLANDO","6200 INTERNATIONAL DR","32819-8290","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"COMCAST","Comcast","$64,603","$0","$64,603","2002","20020418","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2001-6002","","","Delaware","WILMINGTON","1201 MARKET STREET, STE 2201","19801","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Comcast Cable Communications, LLC","Comcast","$28,782","$0","$28,782","2016","20160108","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2015-8001","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
