"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"PacifiCare of California, Inc.","UnitedHealth Group","$10,000","$0","$10,000","2009","20090729","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$100,000","$0","$100,000","2009","20091022","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$100,000","$0","$100,000","2009","20091022","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$75,000","$0","$75,000","2010","20100722","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$20,000","$0","$20,000","2010","20100810","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"PacifiCare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2010","20100830","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2010","20101108","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare of California, Inc.","UnitedHealth Group","$500,000","$0","$500,000","2010","20101207","consumer-protection-related offenses","insurance violation","","Failure to establish and maintain a dispute resolution mechanism","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/docs/1307/1291841528067.pdf",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$5,000","$0","$5,000","2011","20110419","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2011","20110424","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$7,500","$0","$7,500","2011","20110509","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2011","20110613","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2011","20110727","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$7,500","$0","$7,500","2011","20111028","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2011","20111130","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$5,000","$0","$5,000","2011","20111206","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$5,000","$0","$5,000","2012","20120605","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2012","20120613","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2012","20120614","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2012","20120614","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2012","20120725","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$15,000","$0","$15,000","2012","20120814","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$6,000","$0","$6,000","2012","20121029","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2012","20121205","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$12,500","$0","$12,500","2013","20130211","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$5,000","$0","$5,000","2013","20130423","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$12,500","$0","$12,500","2013","20131024","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2014","20140131","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$20,000","$0","$20,000","2014","20140131","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$7,500","$0","$7,500","2014","20140404","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$25,000","$0","$25,000","2014","20140408","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2014","20140410","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$12,238","$0","$12,238","2014","20140421","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"PacifiCare Behavioral Health of California, Inc.","UnitedHealth Group","$13,155","$0","$13,155","2014","20140602","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=PacifiCare+Behavioral+Health+of+California%2c+Inc.",""
"Pacificare Life and Health Insurance Co.","UnitedHealth Group","$173,603,750","$0","$173,603,750","2014","20140609","consumer-protection-related offenses","insurance violation","","Pacificare was ordered to pay $173 million in an Order finding that it failed to handle health insurance claims correctly for customers or providers, leading to a charge of nearly one million violations of the Insurance Code in 20 different categories.","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$15,000","$0","$15,000","2014","20140707","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$55,000","$0","$55,000","2014","20141014","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$15,000","$0","$15,000","2014","20141023","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2014","20141120","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$10,000","$0","$10,000","2015","20150105","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$6,000","$0","$6,000","2015","20150109","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$35,000","$0","$35,000","2015","20150202","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$10,000","$0","$10,000","2015","20150515","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$5,000","$0","$5,000","2015","20150604","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$5,000","$0","$5,000","2016","20160203","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$10,000","$0","$10,000","2016","20160203","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2016","20160322","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$15,000","$0","$15,000","2016","20160725","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$200,000","$0","$200,000","2017","20170223","consumer-protection-related offenses","insurance violation","","Regarding urgent grievances, failure to respond to initial contact from the Department within 30 minutes during normal work hours or within 1 hour during non-work hours, with a plan representative authorized to resolve urgent grievances and authorize the provision of health care services, as required by subsection (b).","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$37,500","$0","$37,500","2017","20170731","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2017","20171129","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$5,000","$0","$5,000","2018","20180206","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$10,000","$0","$10,000","2018","20180216","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$15,000","$0","$15,000","2018","20180216","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$25,000","$0","$25,000","2018","20180216","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$10,000","$0","$10,000","2018","20180409","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$7,500","$0","$7,500","2018","20181130","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$20,000","$0","$20,000","2018","20181130","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$5,000","$0","$5,000","2019","20190325","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$7,500","$0","$7,500","2019","20190402","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$10,000","$0","$10,000","2019","20190502","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$15,000","$0","$15,000","2019","20190502","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UnitedHealthcare Benefits Plan of California","UnitedHealth Group","$7,500","$0","$7,500","2019","20190531","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UnitedHealthcare+Benefits+Plan+of+California",""
"U.S. Behavioral Health Plan, California dba OptumHealth Behavioral Solutions of CA","UnitedHealth Group","$10,000","$0","$10,000","2019","20190627","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=U.S.+Behavioral+Health+Plan%2c+California",""
"UHC of California dba UnitedHealthcare of California, Inc.","UnitedHealth Group","$10,000","$0","$10,000","2020","20200326","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=UHC+of+California",""
"Golden Rule Insurance Co.","UnitedHealth Group","$10,000","$0","$10,000","2005","20051026","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://drive.google.com/file/d/0B_UoCf17OVmWT0EwMEdRM3BsUTQ/view",""
"Pacificare Life Assurance Co.","UnitedHealth Group","$46,000","$0","$46,000","2007","20070730","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://drive.google.com/file/d/1FYy2mkUZNWubMbC30eafQFNINnCNw0Ld/view",""
